0.312243	0.58034	4.2039e-45	0	0.312243	0.58034	0.6	0.6	5.19994	0
0.779913	0.722413	6.65265	1.97671	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1.19545	0.535063	10.3162	-0.0105166	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1.03084	0.563848	4.61288	2.60714	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1.35693	0.704117	4.98423	2.21515	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1.71769	0.64806	5.41141	1.07943	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
2.03354	0.69848	5.53912	0.943847	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
2.27524	0.698083	5.30992	0.726637	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
2.56519	0.724126	5.36769	0.644794	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
2.84706	0.708467	5.3462	0.416214	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
3.0961	0.716017	5.31069	0.383417	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
3.39178	0.643913	5.33801	0.00610955	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
3.70686	0.57788	5.444	-0.268052	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
3.98841	0.593634	5.48734	-0.164092	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
4.27099	0.583218	5.50401	-0.175164	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
4.52795	0.601042	5.34759	-0.094645	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
4.71606	0.674809	5.1827	0.191027	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
4.96809	0.671056	5.04102	0.130917	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
5.27039	0.665724	5.14636	0.0808073	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
5.53202	0.671223	5.27347	0.0988561	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
5.83266	0.681798	5.3505	0.109106	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
6.07236	0.624417	5.1367	-0.0994773	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
6.32684	0.714967	5.12384	0.193565	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
6.57708	0.743759	5.06947	0.248269	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
6.82324	0.744131	5.05496	0.213337	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
7.06443	0.729771	4.8822	0.123411	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
7.27718	0.808342	4.8096	0.342201	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
7.57732	0.822268	5.16059	0.349688	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
7.83243	0.801242	5.15772	0.237924	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
8.08017	0.818127	4.98145	0.237567	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
8.31579	0.83488	4.95241	0.253516	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
8.58987	0.925177	5.23257	0.499093	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
8.83262	0.985479	5.1898	0.602544	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
9.12482	1.02371	5.24829	0.619899	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
9.36585	1.05541	5.20254	0.624884	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
9.64706	1.12918	5.25877	0.744811	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
9.92696	1.26176	5.28637	1.00993	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
10.1722	1.34344	5.02854	1.06995	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
10.3935	1.42337	4.9612	1.14813	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
10.6234	1.49338	4.73061	1.15651	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
10.8413	1.51926	4.69442	1.07134	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
